piece,passage_id,cohort,method,title_similarity
228,cmu1ovfax002504ldq6l8l1pu,workbook,position,1.0
229,cmu1ovfeu002604ld2iggyglj,workbook,position,0.9925
230,cmu1ovfig002704ld1jwppble,workbook,position,1.0
231,cmu1ovflk002804ldk8px2zyk,workbook,position,1.0
232,cmu1ovfox002904ldvzzb19an,workbook,position,1.0
233,cmu1ovfr5002a04ld48dse6yf,workbook,position,1.0
234,cmu1ovftm002b04ld7s8xvkv8,workbook,position,0.9979
235,cmu1ovfvi002c04ld86uhmgv0,workbook,position,1.0
236,cmu1ovfyd002d04ldw5dau9yl,workbook,position,0.9951
237,cmu1ovg0b002e04ldb47t4gug,workbook,position,1.0
238,cmu1ovg3c002f04ldeuzjq7f5,workbook,position,1.0
239,cmu1ovg57002g04ldv6manxe5,workbook,position,1.0
240,cmu1ovg6w002h04ldueysd60g,workbook,position,1.0
241,cmu1ovg8t002i04ldg3cuk6lz,workbook,position,1.0
242,cmu1ovgal002j04lddn3mrclj,workbook,position,1.0
243,cmu1ovgcp002k04ldfxefcq57,workbook,position,1.0
244,cmu1ovgep002l04ldq8k3e7f3,workbook,position,1.0
245,cmu1ovggi002m04ldr7sao9kc,workbook,position,1.0
246,cmu1ovgid002n04ldyvix1anj,workbook,position,1.0
247,cmu1ovgk9002o04ldbt8mc3l2,workbook,position,1.0
248,cmu1ovgmc002p04ldzvz6nl9s,workbook,position,1.0
249,cmu1ovgot002q04ldx660n9nu,workbook,position,1.0
250,cmu1ovgqn002r04ldf1pdyrvn,workbook,position,0.8129
251,cmu1ovgt0002s04ldl9nqlgkw,workbook,position,1.0
252,cmu1ovgv9002t04ldrrpzycgj,workbook,position,1.0
253,cmu1ovgx2002u04lddg6k2ejk,workbook,position,1.0
254,cmu1ovgz1002v04ldw6ti2kkq,workbook,position,1.0
255,cmu1ovh1o002w04lddn02bnw8,workbook,position,1.0
256,cmu1ovh43002x04ldrnngijfc,workbook,position,1.0
257,cmu1ovh6t002y04lddcr8thgl,workbook,position,1.0
258,cmu1ovh8t002z04ldukjgqgoe,workbook,position,1.0
259,cmu1ovhbx003004ldqz806k4b,workbook,position,1.0
260,cmu1ovhe8003104ldri8dpkur,workbook,position,1.0
261,cmu1ovhhf003204ldmnk5r1gk,workbook,position,1.0
262,cmu1ovhje003304ldo0c6oyho,workbook,position,1.0
263,cmu1ovhlo003404ld8jmxe4vo,workbook,position,1.0
264,cmu1ovhnu003504ld7gslrfpt,workbook,position,1.0
265,cmu1ovhpp003604ld5yfbqee7,workbook,position,1.0
266,cmu1ovhrp003704ldda630xxb,workbook,position,1.0
267,cmu1ovhtr003804ldro0q9cju,workbook,position,1.0
268,cmu1ovhvr003904lddx1c3mif,workbook,position,1.0
269,cmu1ovhxr003a04ldp8agy9or,workbook,position,1.0
270,cmu1ovi0m003b04ldefni16v0,workbook,position,1.0
271,cmu1ovi2u003c04ldjipms7kn,workbook,position,1.0
272,cmu1ovi5s003d04ldh6w2e574,workbook,position,1.0
273,cmu1ovi7n003e04ldyu6ky4ba,workbook,position,1.0
274,cmu1ovi9y003f04ld5ifqelu6,workbook,position,1.0
275,cmu1ovidi003g04ldpny23h0s,workbook,position,1.0
276,cmu1ovif9003h04lduvaldc6d,workbook,position,1.0
277,cmu1ovih3003i04ldy0rjkz81,workbook,position,1.0
278,cmu1ovikc003j04ld7b2fld94,workbook,position,1.0
279,cmu1ovipt003k04ld1deccepk,workbook,position,1.0
280,cmu1ovity003l04ldioy1xp53,workbook,position,1.0
281,cmu1oviwd003m04ld8d9fufy9,workbook,position,1.0
282,cmu1oviyi003n04ldqrhq1fqk,workbook,position,1.0
283,cmu1ovj08003o04ld2ttrwoor,workbook,position,1.0
284,cmu1ovj2w003p04ldmbc0d7dk,workbook,position,1.0
285,cmu1ovj51003q04ld662e1p9y,workbook,position,1.0
286,cmu1ovj76003r04ldox266ex9,workbook,position,1.0
287,cmu1ovj9s003s04ld7x5rlan3,workbook,position,1.0
288,cmu1ovjc2003t04ldx3oh1vcd,workbook,position,1.0
289,cmu1ovjdw003u04ldtb67r5dv,workbook,position,1.0
290,cmu1ovjfz003v04ldp6fsfjuy,workbook,position,1.0
291,cmu1ovjhs003w04ldlgglx4d9,workbook,position,1.0
292,cmu1ovjjm003x04ldd03looty,workbook,position,1.0
293,cmu1ovjlo003y04ldsen95l4x,workbook,position,1.0
294,cmu1ovjo1003z04lddqscniza,workbook,position,1.0
295,cmu1ovjq8004004ldez6re9su,workbook,position,1.0
296,cmu1ovjso004104ld02df6yw1,workbook,position,1.0
297,cmu1ovjui004204ldotbalpl0,workbook,position,1.0
298,cmu1ovjwm004304ldnsgcyhg5,workbook,position,1.0
299,cmu1ovjyj004404ldts4ma2z7,workbook,position,1.0
300,cmu1ovk14004504ldiph3pzya,workbook,position,1.0
301,cmu1ovk3d004604ldgdb59crc,workbook,position,1.0
302,cmu1ovk5e004704ldf1eirg6z,workbook,position,1.0
303,cmu1ovk7i004804ld2te2eo2h,workbook,position,1.0
304,cmu1ovka8004904ld8c2v69i6,workbook,position,1.0
305,cmu1ovke1004a04ldcqabzlxc,workbook,position,1.0
306,cmu1ovkhp004b04ldodazxw4j,workbook,position,1.0
307,cmu1ovkjy004c04ldcp8460n2,workbook,position,1.0
308,cmu1ovkmj004d04lduc09zub7,workbook,position,1.0
309,cmu1ovkoc004e04ld2qlbopth,workbook,position,1.0
310,cmu1ovkqc004f04ldwla2pgxq,workbook,position,1.0
311,cmu1ovksr004g04lde3dw5hhl,workbook,position,1.0
312,cmu1ovkv1004h04ld5xu45zj6,workbook,position,1.0
313,cmu1ovkxj004i04ldk51uczbj,workbook,position,1.0
314,cmu1ovkzm004j04ld0gtn9i4v,workbook,position,1.0
315,cmu1ovl1h004k04ld414co4qm,workbook,position,1.0
316,cmu1ovl3s004l04ld4jmfi5il,workbook,position,1.0
317,cmu1ovl5z004m04ldjakmdq8i,workbook,position,1.0
318,cmu1ovl98004n04lde3vess4x,workbook,position,1.0
319,cmu1ovlch004o04lduhjciock,workbook,position,1.0
320,cmu1ovley004p04ldtm4pswxx,workbook,position,1.0
321,cmu1ovlgx004q04ldscqd9dqf,workbook,position,1.0
322,cmu1ovlit004r04ldt08sjqy8,workbook,position,1.0
323,cmu1ovlkx004s04ldv8l1qih2,workbook,position,1.0
324,cmu1ovlmz004t04ld46wnxbae,workbook,position,1.0
325,cmu1ovlos004u04ld0ybu8vl8,workbook,position,1.0
326,cmu1ovlqk004v04ldq1ww3ro1,workbook,position,1.0
327,cmu1ovlsn004w04ldn7lfz4eu,workbook,position,1.0
328,cmu1ovlva004x04ldywnb2f13,workbook,position,1.0
329,cmu1ovlxw004y04ldexuxyo9d,workbook,position,1.0
330,cmu1ovm1x004z04ldgb23h44x,workbook,position,1.0
331,cmu1ovm3p005004ld577hje8r,workbook,position,1.0
332,cmu1ovm76005104ldnjp9vcox,workbook,position,1.0
333,cmu1ovm94005204ldgzwd4f23,workbook,position,1.0
334,cmu1ovmbf005304ld4kvcbnjf,workbook,position,1.0
335,cmu1ovmd6005404ldvkbahki7,workbook,position,1.0
336,cmu1ovmgy005504ldxd564nmt,workbook,position,0.9767
337,cmu1ovmj6005604ldcs6xtd1m,workbook,position,1.0
338,cmu1ovml3005704ldj4wxwfh7,workbook,position,1.0
339,cmu1ovmmx005804ldsqqy502e,workbook,position,1.0
340,cmu1ovmoo005904ldhmmwqffj,workbook,position,1.0
341,cmu1ovmq9005a04ldg4g6aef3,workbook,position,1.0
342,cmu1ovmrz005b04ldanynri31,workbook,position,1.0
343,cmu1ovmu4005c04ld6vgm252o,workbook,position,1.0
344,cmu1ovmw2005d04ldibmzlkvb,workbook,position,1.0
345,cmu1ovmxu005e04ldgmbew13e,workbook,position,1.0
346,cmu1ovmzv005f04ldqwnx2c52,workbook,position,1.0
347,cmu1ovn1v005g04ldox2hxkir,workbook,position,1.0
348,cmu1ovn41005h04ldkw4mmli7,workbook,position,1.0
349,cmu1ovn5r005i04ldaczs89zh,workbook,position,1.0
350,cmu1ovn7j005j04ldxp6y5yhy,workbook,position,1.0
